,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,900,900,900,All Education Categories,Educational Services,103555306,6665,2004,Male,Delaware,15537.18
1,1,901,901,901,Less Than High School,Educational Services,3389602,373,2004,Male,Delaware,9087.4
2,2,902,902,902,High School Graduate,Educational Services,12692570,1198,2004,Male,Delaware,10594.8
3,3,903,903,903,Some College,Educational Services,21139773,1666,2004,Male,Delaware,12688.94
4,4,904,904,904,Advanced Degree,Educational Services,62581250,2907,2004,Male,Delaware,21527.78
5,5,905,905,905,Unavailable,Educational Services,3752110,520,2004,Male,Delaware,7215.6
6,6,906,906,906,All Education Categories,Educational Services,167385167,16024,2004,Female,Delaware,10445.9
7,7,907,907,907,Less Than High School,Educational Services,3267426,605,2004,Female,Delaware,5400.7
8,8,908,908,908,High School Graduate,Educational Services,19796046,2913,2004,Female,Delaware,6795.76
9,9,909,909,909,Some College,Educational Services,37369590,4116,2004,Female,Delaware,9079.1
10,10,910,910,910,Advanced Degree,Educational Services,99628041,7207,2004,Female,Delaware,13823.79
11,11,911,911,911,Unavailable,Educational Services,7324063,1183,2004,Female,Delaware,6191.09
12,12,996,996,996,All Education Categories,Accommodation,5124407,1007,2004,Male,Delaware,5088.79
13,13,997,997,997,Less Than High School,Accommodation,820991,183,2004,Male,Delaware,4486.29
14,14,998,998,998,High School Graduate,Accommodation,1505188,291,2004,Male,Delaware,5172.47
15,15,999,999,999,Some College,Accommodation,1284161,228,2004,Male,Delaware,5632.29
16,16,1000,1000,1000,Advanced Degree,Accommodation,978395,127,2004,Male,Delaware,7703.9
17,17,1001,1001,1001,Unavailable,Accommodation,535672,177,2004,Male,Delaware,3026.4
18,18,1002,1002,1002,All Education Categories,Accommodation,6357771,1582,2004,Female,Delaware,4018.82
19,19,1003,1003,1003,Less Than High School,Accommodation,942889,287,2004,Female,Delaware,3285.33
20,20,1004,1004,1004,High School Graduate,Accommodation,1777432,456,2004,Female,Delaware,3897.88
21,21,1005,1005,1005,Some College,Accommodation,1687955,367,2004,Female,Delaware,4599.33
22,22,1006,1006,1006,Advanced Degree,Accommodation,1083669,165,2004,Female,Delaware,6567.69
23,23,1007,1007,1007,Unavailable,Accommodation,865826,306,2004,Female,Delaware,2829.5
24,24,2052,2052,2052,All Education Categories,Educational Services,101297273,10250,2005,Male,Delaware,9882.66
25,25,2053,2053,2053,Less Than High School,Educational Services,3307321,497,2005,Male,Delaware,6654.57
26,26,2054,2054,2054,High School Graduate,Educational Services,12567315,1568,2005,Male,Delaware,8014.87
27,27,2055,2055,2055,Some College,Educational Services,20828900,2212,2005,Male,Delaware,9416.32
28,28,2056,2056,2056,Advanced Degree,Educational Services,61110301,4562,2005,Male,Delaware,13395.51
29,29,2057,2057,2057,Unavailable,Educational Services,3483437,1411,2005,Male,Delaware,2468.77
30,30,2058,2058,2058,All Education Categories,Educational Services,167291487,20813,2005,Female,Delaware,8037.84
31,31,2059,2059,2059,Less Than High School,Educational Services,3364215,740,2005,Female,Delaware,4546.24
32,32,2060,2060,2060,High School Graduate,Educational Services,20109494,3409,2005,Female,Delaware,5898.94
33,33,2061,2061,2061,Some College,Educational Services,38247982,5061,2005,Female,Delaware,7557.4
34,34,2062,2062,2062,Advanced Degree,Educational Services,98117129,8990,2005,Female,Delaware,10914.03
35,35,2063,2063,2063,Unavailable,Educational Services,7452668,2612,2005,Female,Delaware,2853.24
36,36,2148,2148,2148,All Education Categories,Accommodation,4893007,972,2005,Male,Delaware,5033.96
37,37,2149,2149,2149,Less Than High School,Accommodation,752826,171,2005,Male,Delaware,4402.49
38,38,2150,2150,2150,High School Graduate,Accommodation,1404203,266,2005,Male,Delaware,5278.96
39,39,2151,2151,2151,Some College,Accommodation,1315401,219,2005,Male,Delaware,6006.4
